token,docIds
the,[1 2 3 4 5]
project,[1 2 3 4 5]
gutenberg,[1 2 3 4 5]
ebook,[1 2 3 4 5]
of,[1 2 3 4 5]
alice,[1]
s,[1 2 3 4 5]
adventures,[1 3]
in,[1 2 3 4 5]
wonderland,[1]
by,[1 2 3 4 5]
lewis,[1 4]
carroll,[1]
this,[1 2 3 4 5]
is,[1 2 3 4 5]
for,[1 2 3 4 5]
use,[1 2 3 4 5]
anyone,[1 2 3 4 5]
anywhere,[1 2 3 4 5]
united,[1 2 3 4 5]
states,[1 2 3 4 5]
and,[1 2 3 4 5]
most,[1 2 3 4 5]
other,[1 2 3 4 5]
parts,[1 2 4]
world,[1 2 3 4]
at,[1 2 3 4 5]
no,[1 2 3 4 5]
cost,[1 2 3 4 5]
with,[1 2 3 4 5]
almost,[1 2 3 4 5]
restrictions,[1 2 3 4 5]
whatsoever,[1 2 3 4 5]
you,[1 2 3 4 5]
may,[1 2 3 4 5]
copy,[1 2 3 4 5]
it,[1 2 3 4 5]
give,[1 2 3 4 5]
away,[1 2 3 4 5]
or,[1 2 3 4 5]
re,[1 2 3 4 5]
under,[1 2 3 4 5]
terms,[1 2 3 4 5]
license,[1 2 3 4 5]
included,[1 2 3 4 5]
online,[1 2 3 4 5]
www,[1 2 3 4 5]
org,[1 3 4 5]
if,[1 2 3 4 5]
are,[1 2 3 4 5]
not,[1 2 3 4 5]
located,[1 3 4 5]
ll,[1 3 4 5]
have,[1 2 3 4 5]
to,[1 2 3 4 5]
check,[1 3 4 5]
laws,[1 2 3 4 5]
country,[1 2 3 4 5]
where,[1 2 3 4 5]
before,[1 2 3 4 5]
using,[1 3 4 5]
title,[1 2 3 4]
author,[1 2 3 4 5]
release,[1 2 3 4 5]
date,[1 2 3 4 5]
june,[1 2 4]
25,[1 3 4 5]
2008,[1 2 4 5]
11,[1 2 3 4]
recently,[1 3]
updated,[1 2 3 4 5]
october,[1]
12,[1 2 3 4]
2020,[1 5]
language,[1 2 3 4 5]
english,[1 2 3 4 5]
character,[1 2 4 5]
set,[1 2 3 4 5]
encoding,[1 2 4 5]
utf,[1 2 4 5]
8,[1 2 3 4 5]
start,[1 2 3 4 5]
produced,[1 2 3 4 5]
arthur,[1 2]
dibianca,[1]
david,[1 2 3 4 5]
widger,[1 4 5]
illustration,[1 3 4]
millennium,[1]
fulcrum,[1]
edition,[1 3 4 5]
3,[1 2 3 4 5]
0,[1 4 5]
contents,[1 2 3 4]
chapter,[1 2 4]
i,[1 2 3 4 5]
